rank,doc_idx,lda_cluster,lda_topwords,lda_maxtheta,lda_entropy,embed_pred_cluster,embed_topwords,true_group,lda_cluster_as_group,embed_pred_as_group,text
498,5997,14,gun law guns government people state,0.499,0.358,15,don just like know think good,alt.atheism,talk.politics.guns,rec.motorcycles,death penalty conceived crime legal added automatic appeals lengthy court purpose small question death penalty meant crime rid entirely doubt death penalty supposed crime doesn crime carry death penalty wouldn death penalty punishment like fine speeding punishment somebody murder mind doesn care con
499,4599,16,people god does believe evidence say,0.499,0.495,15,don just like know think good,alt.atheism,alt.atheism,rec.motorcycles,good point think average people christianity fear quite simply way improve social life involved american culture kids example overwhelming major religion western world form simply choice people bored want new lives new ordinary little weak long doesn hurt anybody social pressure important factor maj
500,5935,8,president government people said program money,0.498,0.442,13,team game year games play season,rec.sport.hockey,talk.politics.misc,rec.sport.hockey,press release white house remarks president clinton division champion hockey team april following national desk contact white house office press secretary washington april following transcript remarks president clinton university maine black bears division hockey champions rose garden edt president 
501,7433,15,don just like know think good,0.498,0.408,14,gun law guns government people state,talk.politics.guns,rec.motorcycles,talk.politics.guns,people realize right bear isn primarily intended protecting criminals wild granted big need military style weapons fight government come door agents come door nice able shoot constitution best ability lot harder doing weapons listed read federalist papers clarification rkba documents cleared plenty 
502,8935,8,president government people said program money,0.498,0.512,14,gun law guns government people state,alt.atheism,talk.politics.misc,talk.politics.guns,answer position place people prison life depends murder success rate escape ability commit crimes words lifetime imprisonment doesn work executing people careful lock bob beauchaine bobbe vice ico tek com said queens stay blew bronx away sank manhattan sea
503,9746,2,car new bike price sale cars,0.498,0.515,9,edu com mail information send list,rec.motorcycles,misc.forsale,comp.sys.mac.hardware,brand new end chambers clean black paul contact email address contact seller cheers
504,6310,15,don just like know think good,0.498,0.417,5,drive card scsi disk dos windows,comp.sys.ibm.pc.hardware,rec.motorcycles,comp.sys.ibm.pc.hardware,yeah just got new yesterday replace old tried mode just great perfectly readable command windows screen need colors thing wondering isn file contains resolutions change pro time want switch instead simply going settings regards martin
505,2080,12,key encryption chip clipper keys privacy,0.497,0.490,6,window server motif widget use application,sci.crypt,sci.crypt,comp.windows.x,interesting server csrc ncsl nist gov longer recognizes commands telnet csrc ncsl nist gov trying connected csrc ncsl nist gov escape character org nist ready tue apr edt clipper command unrecognized like didn like marc
506,9697,15,don just like know think good,0.496,0.358,5,drive card scsi disk dos windows,comp.sys.mac.hardware,rec.motorcycles,comp.sys.ibm.pc.hardware,iisi floppy drive bad just alignment haven checked drive easily like replace easily assuming drives read write floppies fact true tell
507,6187,18,god jesus church bible christ christian,0.496,0.486,15,don just like know think good,soc.religion.christian,soc.religion.christian,rec.motorcycles,posted couple weeks ago doesn appeared newsgroup haven reply moderator having intermittent problems mail time excuse seen christians fight week posted questions fighting things justifiable wars started looking things findings haven answered questions know slightly different possibly able deeply late
508,3530,15,don just like know think good,0.496,0.425,2,car new bike price sale cars,rec.motorcycles,rec.motorcycles,misc.forsale,buy bmw expensive stuff kawasaki grown certain parts bmw dave said don worry just change yearly keeping happy guess kept aluminum radiator years miles guess aluminum safe owner late rochester bmw motorcycles good guy rochester dod care people think richard share garage space harvey
509,5,9,edu com mail information send list,0.496,0.439,15,don just like know think good,sci.med,comp.sys.mac.hardware,rec.motorcycles,people responded request info treatment email couldn thank directly mail bouncing sean sharon thought publicly thank thanks sure glad accidentally hit instead trying delete file september hmmm news
510,8293,15,don just like know think good,0.496,0.494,4,health medical disease use patients food,sci.med,rec.motorcycles,sci.med,don know fact asked questions doctor told cleaner sri produces fewer effects comparison able remember said differences drugs sorry
511,9799,7,time use used number point different,0.496,0.319,15,don just like know think good,sci.med,rec.autos,rec.motorcycles,suspect mean instead far best method diagnose old physical examination obvious coming brought increasing pressure obvious small detect putting finger canal related previous operation tell person examined best position make determination non ways folks write far expensive unlikely better trained exam
512,1739,8,president government people said program money,0.496,0.533,15,don just like know think good,sci.crypt,talk.politics.misc,rec.motorcycles,agreed like bay planned administration given final green light kennedy sure went kennedy man responsibility expect slick willie clinton
513,10013,15,don just like know think good,0.496,0.428,2,car new bike price sale cars,rec.autos,rec.motorcycles,misc.forsale,pretty like people buy mazda miata today small fun fool lot people performance far superior expensive cars
514,9656,10,said people went didn came told,0.495,0.441,18,god jesus church bible christ christian,soc.religion.christian,talk.religion.misc,soc.religion.christian,life posted kind permission editor australian catholic magazine morning star hope like prevent sin born october daughter family seven girl parents wish receive lord blessed date finally set little receive lord feast corpus time like slowly great day finally arrived priest celebrate mass children hol
515,5593,18,god jesus church bible christ christian,0.495,0.485,16,people god does believe evidence say,soc.religion.christian,soc.religion.christian,alt.atheism,andrew writes think need post creed pretty orthodox christian belief trinity pretty good statement beliefs eventually creed use catholic church lutheran orthodox churches minus delete original form creed evidence used orthodox churches far know purely western like apostles creed orthodox churches us
516,7990,15,don just like know think good,0.494,0.443,2,car new bike price sale cars,rec.motorcycles,rec.motorcycles,misc.forsale,look happier looking used example boss seat couple inches lower regular certainly cruiser
517,9178,0,israel turkish armenian jews war israeli,0.494,0.444,15,don just like know think good,talk.politics.mideast,talk.politics.mideast,rec.motorcycles,readers know jews living arab countries know jews live countries know circumstances arabic jews leaving just curious
518,7054,15,don just like know think good,0.494,0.403,5,drive card scsi disk dos windows,comp.sys.mac.hardware,rec.motorcycles,comp.sys.ibm.pc.hardware,interested getting external hard drive got internal pretty compression alot people talk good ratio thinking adding brands people suggest finally places buy popular mail order places better order places just sell hard drives ones advertise macworld macuser thanks advance mail replies sent compile pos
519,644,10,said people went didn came told,0.494,0.500,14,gun law guns government people state,talk.politics.guns,talk.religion.misc,talk.politics.guns,note trial updates reports local nbc television station channel randy weaver kevin harris trial update day monday april fifth day trial government kenneth randy weaver sold shotguns violation national firearms act district court judge edward asks hear accounts waco possible weaver harris case testim
520,7171,5,drive card scsi disk dos windows,0.494,0.447,15,don just like know think good,comp.sys.mac.hardware,comp.sys.ibm.pc.hardware,rec.motorcycles,like know people opinions real world differences coprocessor don use like maple don use sheets complicated don use cad apps used use extensive communications run bbs write software write papers btw just told local apple rep upgrading apple built extra socket coprocessor chip way just plug coprocesso
521,5551,12,key encryption chip clipper keys privacy,0.494,0.519,15,don just like know think good,sci.crypt,sci.crypt,rec.motorcycles,got secure device don need public keys secret key chips share just use date maybe jim reported
522,4582,15,don just like know think good,0.494,0.592,2,car new bike price sale cars,rec.autos,rec.motorcycles,misc.forsale,article business week weeks ago subject fact volvo cars laid example
523,10005,5,drive card scsi disk dos windows,0.493,0.480,15,don just like know think good,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware,rec.motorcycles,seeing kinds complaints regarding lately thought post recent pleasant experiences machine past friday weeks day called order perfect order ordered properly installed jumbo rom impressed quantity quality gateway documentation software came original disks manuals gateway manual nice ring ati came driv
524,8711,1,space nasa launch earth satellite shuttle,0.493,0.545,7,time use used number point different,sci.space,sci.space,rec.autos,sure mary henry understand speed near wind like fluid pipe wind bend away wing edges wing pipes bend place begin force compression stealing power vehicle high drag squeeze pipes bend drag reduced essentially teh cross area aircraft remain constant areas wings teh cross area wings
525,9691,8,president government people said program money,0.493,0.473,15,don just like know think good,sci.space,talk.politics.misc,rec.motorcycles,writer reported today washington post joseph shea head space station redesign resigned health reasons shea shortly selection february returned yesterday lead formal presentation independent white house panel shea presentation shea deputy astronaut bryan connor effort asserted redesign effort track
526,2153,10,said people went didn came told,0.493,0.615,15,don just like know think good,rec.sport.hockey,talk.religion.misc,rec.motorcycles,maybe steel dead industry night liver night pittsburgh zoo
527,8201,15,don just like know think good,0.492,0.432,7,time use used number point different,comp.graphics,rec.motorcycles,rec.autos,problem surfaces does anybody easy understand algorithm maybe source
528,3179,8,president government people said program money,0.492,0.484,15,don just like know think good,comp.sys.mac.hardware,talk.politics.misc,rec.motorcycles,surprised learn technical issues terribly important working marketing plan
529,2232,15,don just like know think good,0.492,0.435,13,team game year games play season,rec.sport.hockey,rec.motorcycles,rec.sport.hockey,depends mean heard harold difference owners like okay comparison read book net worth view smythe norris adams campbell like specifically think roger saying said previously people league great divisions conferences named instead howe people did make great instead nhl chosen men got rich men game grea
530,2518,16,people god does believe evidence say,0.492,0.413,15,don just like know think good,alt.atheism,alt.atheism,rec.motorcycles,buddy second read wrote talking muslims allowed merely practice consider muslim don old tired true muslims bullshit gave names information going honestly think did come forward confess kind shown fat chance rate conclusive proof nature act people practice agree theory hope allah forgive end think ar
531,7490,16,people god does believe evidence say,0.492,0.410,15,don just like know think good,soc.religion.christian,alt.atheism,rec.motorcycles,agree need sleep disagree animals statement negative like saying true know sure
532,3937,5,drive card scsi disk dos windows,0.492,0.507,15,don just like know think good,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware,rec.motorcycles,use irq disadvantage games assume board using irq way adjust setting trouble films games
533,6667,6,window server motif widget use application,0.492,0.499,5,drive card scsi disk dos windows,comp.windows.x,comp.windows.x,comp.sys.ibm.pc.hardware,archive faq modified maximize performance monthly posting compiled art art ram faster cpu disk space faster ethernet standard responses hear ask improve performance workstation hardware isn option wonder hardware necessity faq list collection suggestions ideas different people net best possible perf
534,6113,5,drive card scsi disk dos windows,0.492,0.465,15,don just like know think good,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware,rec.motorcycles,steps deleted interesting idea worst case data patterns developed test magnetic media totally different patterns used detect common faults memory chips having major memory problems ago getting parity error error message windows ran plus check diagnose shareware memory total meg simm store bought sha
535,9179,15,don just like know think good,0.492,0.362,16,people god does believe evidence say,alt.atheism,rec.motorcycles,alt.atheism,fact exist bothers fact don able define wanted hear things principle exist long don think carefully ask religious person couldn
536,437,4,health medical disease use patients food,0.491,0.586,15,don just like know think good,sci.med,sci.med,rec.motorcycles,glutamate essential amino acid people survive quite eating keith access com
537,6132,14,gun law guns government people state,0.491,0.436,15,don just like know think good,talk.politics.guns,talk.politics.guns,rec.motorcycles,happened waco fault batf proper equipment personal captured compound initial assault happened batf needs people better weapons armored meet hostile able use force instead stand going job right batf protect proper equipment people job increased crime streets batf needed blast away good price pay law 
538,9562,5,drive card scsi disk dos windows,0.491,0.449,6,window server motif widget use application,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.windows.x,nice easy question running dos windows lose ability print screen problem running dos windows using expanded memory manager mail responses don read news thanks advance
539,5422,7,time use used number point different,0.491,0.389,11,image software available ftp files graphics,comp.graphics,rec.autos,comp.graphics,seeking alternate solutions turn postscript type truetype font outline polygons subsequently scan converted studying problem font conversion years need implement opportunity write font rendering software like questions answered jump deep end main problem face use odd non rules turn outlines single o
540,31,18,god jesus church bible christ christian,0.491,0.605,14,gun law guns government people state,talk.politics.misc,soc.religion.christian,talk.politics.guns,appears man appeared land sighted strange appointed supreme power
541,2435,6,window server motif widget use application,0.491,0.533,15,don just like know think good,comp.windows.x,comp.windows.x,rec.motorcycles,following problem really appreciate help create windows child root child events discarded events fall set fyi using doing fundamentally wrong
542,6083,5,drive card scsi disk dos windows,0.491,0.484,7,time use used number point different,comp.sys.mac.hardware,comp.sys.ibm.pc.hardware,rec.autos,wpi wpi edu writes specs page book highlights bit address space bit data width bit integer registers bit floating point registers capable caches way set typical integer instruction floating point interesting aside bit floating point numbers time bit multiple instruction figure instruction typical gu
543,4774,15,don just like know think good,0.490,0.332,6,window server motif widget use application,comp.windows.x,rec.motorcycles,comp.windows.x,folks say new quick question using notice comes small window pretty sure default font work normally supposed read font size appears right stuff use arguments xterm correct course simple script feeling missing simple comments suggestions appreciated thanks advance
544,9741,2,car new bike price sale cars,0.490,0.471,15,don just like know think good,rec.motorcycles,misc.forsale,rec.motorcycles,knee surgery navy doctors cast ass method honda time sliding seat use did mention left leg operate shift hook end lever lift entire leg shifts just drop leg lever shifts forget took way leg right bike passenger right sticking hole day rode miles physical therapy sessions doc hell riding bike riding 
545,8375,15,don just like know think good,0.490,0.437,18,god jesus church bible christ christian,alt.atheism,rec.motorcycles,soc.religion.christian,hear baptism birth isn young don know praying young young comes later bright little boy finds priest really wears does statement atheist cause way surely intended wit
546,9210,9,edu com mail information send list,0.490,0.618,0,israel turkish armenian jews war israeli,talk.politics.mideast,comp.sys.mac.hardware,talk.politics.mideast,does schedule israel different languages posted mailed assistance greatly appreciated
547,8095,15,don just like know think good,0.490,0.420,16,people god does believe evidence say,alt.atheism,rec.motorcycles,alt.atheism,yeah right let guy writes piece title implies case supports reason believe piece anti islamic slander job respect titles real content look article want true tell islamic bank seeing spending time responding propaganda responding little sub thread really don feel deep need make statements effect prop
548,4310,5,drive card scsi disk dos windows,0.490,0.416,15,don just like know think good,misc.forsale,comp.sys.ibm.pc.hardware,rec.motorcycles,according reports don dos don utilities qemm stacker norton worth people sort utility doesn offer know usual hype marketing able create
549,4712,15,don just like know think good,0.490,0.398,11,image software available ftp files graphics,comp.windows.x,rec.motorcycles,comp.graphics,don know great deal support tell good support method module use language interface code use application code tell real neat stuff coming soon regard details talk local sales rep doing near want example code look examples
550,5876,15,don just like know think good,0.490,0.483,18,god jesus church bible christ christian,soc.religion.christian,rec.motorcycles,soc.religion.christian,christians non christians laugh quote feel know true christians just know little better god trust christopher
551,2679,2,car new bike price sale cars,0.490,0.348,17,power use water ground wire used,misc.forsale,misc.forsale,sci.electronics,band specs bands boost cut size variable bands indicated variable output variable frequency originally paid unit used months selling car excellent condition wiring hardware intact manual original box asking price
552,5297,0,israel turkish armenian jews war israeli,0.489,0.500,15,don just like know think good,talk.religion.misc,talk.politics.mideast,rec.motorcycles,way know burned house batf fbi government word people started knock search grenades hardly observers day christmas served leftover turkey second day christmas served turkey leftover turkey days deleted flaming turkey wings pizza hut commercial bait
553,2784,14,gun law guns government people state,0.489,0.441,15,don just like know think good,talk.politics.guns,talk.politics.guns,rec.motorcycles,hmmm hadn heard rockets atf tall davidians attacked threatened governments right tell legitimate right child abuse jurisdiction department treasury attacking citizens process strength rumors violation law does fall jurisdiction pretty rights gets really trouble
554,5402,6,window server motif widget use application,0.489,0.523,11,image software available ftp files graphics,comp.windows.x,comp.windows.x,comp.graphics,source code simply look mit clients exactly
555,9814,15,don just like know think good,0.489,0.353,13,team game year games play season,rec.sport.baseball,rec.motorcycles,rec.sport.hockey,argument non camps agree fact catcher defense basically present talk important calling game pitches blocking balls dirt little way tell exactly various catcher rank defense looking lopez specifically reason suspect bad defensive catcher fact braves media labeled bad defensive catcher far tell doesn 
556,1797,5,drive card scsi disk dos windows,0.489,0.474,15,don just like know think good,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware,rec.motorcycles,correct motherboard manufacturer usually buy boards says problem fixed weeks
557,6921,2,car new bike price sale cars,0.489,0.584,15,don just like know think good,sci.med,misc.forsale,rec.motorcycles,want buy self like friend load plastic case set spring automatically push needle skin live new york saturday night
558,9410,10,said people went didn came told,0.489,0.483,15,don just like know think good,talk.politics.guns,talk.religion.misc,rec.motorcycles,didn electrical power don idea davidians cooking lunch gas masks fbi buildings credible like discussion relevant started wholly wood stove fbi shot buildings feds far wild like ridiculous legitimate criticism conduct affair
559,8173,7,time use used number point different,0.489,0.647,15,don just like know think good,sci.med,rec.autos,rec.motorcycles,proper spelling effect soviet film developer recall visible static chemical reactions material silver films
560,7507,7,time use used number point different,0.489,0.505,15,don just like know think good,sci.med,rec.autos,rec.motorcycles,probably mean member family chemical strong probably best refered just knock ass effects similar
561,9341,15,don just like know think good,0.488,0.330,13,team game year games play season,rec.sport.baseball,rec.motorcycles,rec.sport.hockey,mark brings strawberry incident lost fan caught yes think way fans want catch ball really aware winning game important fan aware home stadium helping home team win way possible soon ball hit far root darryl catch try catch particularly sitting close enjoy attitude wrigley fans visiting team home run
562,3873,15,don just like know think good,0.488,0.330,13,team game year games play season,rec.sport.baseball,rec.motorcycles,rec.sport.hockey,boy hats cubs fan actually courage braves fans mean braves gone consecutive world series cubs fan really hand braves fans capable driving crazy cheer protest saying cubs fans stupid way just stupid acknowledge observation just plain wrong confused bear fans weeks ago just saying cubs finish division
563,1635,9,edu com mail information send list,0.488,0.413,13,team game year games play season,rec.sport.hockey,comp.sys.mac.hardware,rec.sport.hockey,hey patrick montana magic played great falls marc phoenix houston marc foster contact oklahoma city central hockey university oklahoma department league adams cup internet edu champions edu placed mailing list send email address
564,4537,1,space nasa launch earth satellite shuttle,0.487,0.467,7,time use used number point different,sci.space,sci.space,rec.autos,interesting atlas pressure maintain tank geometry leads question ssto concepts launch configuration significantly different long structures conceived built otto tank ssto sounds clever
565,8006,9,edu com mail information send list,0.487,0.516,5,drive card scsi disk dos windows,sci.electronics,comp.sys.mac.hardware,comp.sys.ibm.pc.hardware,surplus dealing buddy came emulator development station target processor dip head does include board plugs applied microsystems head let know look excellent condition doesn know mean cheap dave medin phone ssd networking intergraph corp internet dtmedin catbyte ingr com huntsville uucp uunet ingr ca
566,5248,16,people god does believe evidence say,0.487,0.491,15,don just like know think good,soc.religion.christian,alt.atheism,rec.motorcycles,unclear asking effective substance recovery programs involve peoples spiritual needs merely attempting peoples spiritual needs people regulars probably involve defining needs clear showing things exist filled say spiritual needs means higher power sort systems require work better identical systems c
567,9023,6,window server motif widget use application,0.487,0.477,11,image software available ftp files graphics,comp.windows.x,comp.windows.x,comp.graphics,new group bear years ago wrote sunview application fast animation raster files sunview rapidly finally decided rewrite scratch xview quick test xputimage considerably slower factor average sunview command moves image data memory sparc ipx protocol communication slowing things xputimage question fast
568,4471,15,don just like know think good,0.487,0.318,13,team game year games play season,rec.sport.hockey,rec.motorcycles,rec.sport.hockey,sorry red wings earned victory easily watched game espn soon realized game beginning second maple leafs flat flat red wings freely pace game didn detect bad penalty calls van did usual good job toronto looked like expected playoff game years nervous leafs sake hope rid game game indicative series go
569,8515,8,president government people said program money,0.487,0.436,15,don just like know think good,talk.politics.misc,talk.politics.misc,rec.motorcycles,regard post thought remind midst academia member generation likely pay crap reagan started deficit according brilliant curve think need look open minds ideas allow directly address problems federal deficit debt continue allow economy expand don remember complaining academia implemented policy approv
570,7812,15,don just like know think good,0.487,0.364,13,team game year games play season,rec.sport.hockey,rec.motorcycles,rec.sport.hockey,care phil liked lot pittsburgh didn score lot look stats year worked butt speed created opportunities offensive zone allowed pens utilize potential haven paying attention year say know injuries hasn offense isn speed like said created opportunities didn score thought money offered rangers little hig
571,2470,13,team game year games play season,0.487,0.485,15,don just like know think good,rec.sport.hockey,rec.sport.hockey,rec.motorcycles,course penalties changed males aggressive slashing males fighting proof males cope feelings penalties fall classes penalties foul illegal contact player stick body stick game contact intentional foul current fighting thrown game technical foul bad ref player coach penalty shot awarded thrown game pe
572,8298,11,image software available ftp files graphics,0.487,0.496,15,don just like know think good,comp.os.ms-windows.misc,comp.graphics,rec.motorcycles,heard good desktop windows anybody tell cica pub util wustl great number sites just post mail andreas email informatik
573,77,15,don just like know think good,0.487,0.449,2,car new bike price sale cars,rec.autos,rec.motorcycles,misc.forsale,assuming non turbo characteristic large doesn balance guess toyota didn care little details like mid engine configuration automatically cross car consideration recommendation larger balance good rule thumb mind want decent engine noise really bugs sell
574,7624,9,edu com mail information send list,0.487,0.349,6,window server motif widget use application,comp.windows.x,comp.sys.mac.hardware,comp.windows.x,doesnt matter window running use routine display display display window int does perform want newsgroups comp windows path shearson com uunet haven edu darwin net mps ohio state edu acs ohio state edu org org john sender news org news nntp posting host org organization colorado date thu apr gmt line
575,2880,15,don just like know think good,0.486,0.368,18,god jesus church bible christ christian,alt.atheism,rec.motorcycles,soc.religion.christian,know just occurred today christian thing blamed solely mary married joseph gets knocked think joe finds getting mary comes ridiculous story god making pregnant actually ridiculous considering number people believe tells truth tells poor little jesus hot shit son god tells bought mary story does mary
576,1517,17,power use water ground wire used,0.486,0.570,15,don just like know think good,sci.electronics,sci.electronics,rec.motorcycles,oddly don according wiring faq regularly posted misc consumers house senses live neutral wire cuts ground connection needed function
577,8371,16,people god does believe evidence say,0.486,0.499,18,god jesus church bible christ christian,soc.religion.christian,alt.atheism,soc.religion.christian,point mark comment valid suggest aids deserved ludicrous sin resolve sin weekly actually routinely fail surely deserve god provided logos jesus way situation aids deserved surely deserve instant death just paul judge deserving punishment height arrogance lack point aids engage sexual behavior fact e
578,8775,15,don just like know think good,0.486,0.417,12,key encryption chip clipper keys privacy,sci.crypt,rec.motorcycles,sci.crypt,feel like privacy clipper extent key escrow legitimate stop abuse wiretaps local cops company cops angry wives going hard cops cops bypass product flawed admit hard pressed good say actually takes certainly come real crypto chip pin compatable buy unless course big brother makes illegal real crypto 
579,7929,14,gun law guns government people state,0.486,0.560,12,key encryption chip clipper keys privacy,sci.crypt,talk.politics.guns,sci.crypt,following precedent areas government likely tax encryption technology tax imposed federal matter cryptographic tool bring batf fbi grenades house batf appears logical agency enforce regulations federal control tobacco firearms based taxes look fcc won allow sale receive bands supposed private desire
580,9231,15,don just like know think good,0.486,0.407,13,team game year games play season,rec.sport.hockey,rec.motorcycles,rec.sport.hockey,life simple savard played games playing like crap montreal problems run deeper savard unfortunately hope act playoffs line game coming pittsburgh said likely use playoffs let hope forget nice weather having play hockey
581,3860,5,drive card scsi disk dos windows,0.486,0.503,15,don just like know think good,comp.sys.mac.hardware,comp.sys.ibm.pc.hardware,rec.motorcycles,reason market size market size color don just small extra cost money buy color classic instead cheers jon nada mac hacker deluxe
582,1259,17,power use water ground wire used,0.486,0.531,6,window server motif widget use application,sci.electronics,sci.electronics,comp.windows.x,depends monitor timing don vertical use xor composite sync odd tearing screen sensitive control looks like expect scanned fields say sheet upper left corner fingers started tear tube proper composite sync rock solid
583,3441,11,image software available ftp files graphics,0.486,0.497,15,don just like know think good,comp.os.ms-windows.misc,comp.graphics,rec.motorcycles,things interested know today risc processors true fewer instructions commonly known causes size executables cases performance similar larger applications compromise risc processors today actually cross reduced instructions set complex say future processors intel certainly proved want know does group
584,10033,9,edu com mail information send list,0.486,0.482,5,drive card scsi disk dos windows,misc.forsale,comp.sys.mac.hardware,comp.sys.ibm.pc.hardware,article crossposted misc forsale computers clone author mark wilson posted fri apr gmt update sale items plus shipping core hard drive model works fine height reduced mfm controller like sell asking price sell combined style case process selling vga card asking max version asking email mark com use 
585,2315,9,edu com mail information send list,0.486,0.422,15,don just like know think good,rec.sport.baseball,comp.sys.mac.hardware,rec.motorcycles,supposed just wondering service entire baseball world usenet especially east coast final scores west coast games newspapers late helpful fans countries receive weekly scores updates week requested kind service previously available bbs pay news services way free charge copyright restrictions remember
586,9285,13,team game year games play season,0.486,0.444,7,time use used number point different,rec.sport.baseball,rec.sport.hockey,rec.autos,wouldn value effect clear effects hits double runner score alomar legs extra base hit gap runner need hold doubles advancement value alomar course alomar likely score hitting double reason extra value runs created work fast slow teams team ran teams certainly faster players current runs created work
587,1332,6,window server motif widget use application,0.486,0.510,5,drive card scsi disk dos windows,comp.windows.x,comp.windows.x,comp.sys.ibm.pc.hardware,probably incorrect pointer integer memory copies data returns pointer memory free memory
588,5331,16,people god does believe evidence say,0.486,0.637,15,don just like know think good,sci.crypt,alt.atheism,rec.motorcycles,post experts behavior agree speech robin
589,8792,7,time use used number point different,0.486,0.481,11,image software available ftp files graphics,comp.graphics,rec.autos,comp.graphics,algorithm works algorithm attempt facing mark faces unknown create edge dictionary allows faces sharing given edge edge representing shared pick arbitrary face mark using edge dictionary surrounding faces based orientation face surrounding faces consistently entire surface average surface using poin
590,10028,11,image software available ftp files graphics,0.486,0.580,12,key encryption chip clipper keys privacy,sci.crypt,comp.graphics,sci.crypt,interested source encryption algorithm does know source documentation thanks advance
591,5905,8,president government people said program money,0.486,0.439,15,don just like know think good,rec.motorcycles,talk.politics.misc,rec.motorcycles,organization act easy say says little really organization actually largely determined president directors far makes important vote election officers remember right heard election members actually cast votes wonder current board friends relatives make membership certainly plan staying club long vote 
592,5741,15,don just like know think good,0.485,0.475,13,team game year games play season,rec.sport.hockey,rec.motorcycles,rec.sport.hockey,just quick note immediate future rumor usa today page playing tampa bay couple days supposedly competing goaltender spot think performance damn good hasn played year seeing lot atlanta years come ward
593,4741,8,president government people said program money,0.485,0.481,15,don just like know think good,sci.space,talk.politics.misc,rec.motorcycles,today isn suitable sdio funds reusable sounding rocket sdio goal did lot going reports soon favorable bush briefing right people paying public support critical politics need constant pressure elected officials allen
594,7509,1,space nasa launch earth satellite shuttle,0.485,0.478,17,power use water ground wire used,sci.space,sci.space,sci.electronics,pat article shafer nasa gov pat gee thought cable controlled didn pat total electrical failure flight pat backup systems reaction controlled aircraft fly wire control surfaces controlled cables jets fly wire pat mean wings fail teh pat navy aircraft sweeping wings order save space deck wings sweep r
595,6494,13,team game year games play season,0.485,0.404,15,don just like know think good,rec.sport.hockey,rec.sport.hockey,rec.motorcycles,messier incident agree rick ulf cross check wasn illegal kind check dozen times game called tendency make things look worse really messier heat stay kitchen matt hasn playing elite league team just junior team predict needs years join saw play swedish championship game junior players year played phy
596,8737,16,people god does believe evidence say,0.484,0.449,18,god jesus church bible christ christian,talk.religion.misc,alt.atheism,soc.religion.christian,jim lame explanation trinity jesus provides people things trinity case wrong assumed trinity implies god entities cheers kent
597,1241,7,time use used number point different,0.484,0.479,15,don just like know think good,sci.med,rec.autos,rec.motorcycles,arguing lyme lab test accurate books read say general tests chance correct tests result large number false false case odds rolling dice
598,5152,15,don just like know think good,0.484,0.328,13,team game year games play season,rec.sport.hockey,rec.motorcycles,rec.sport.hockey,patrick roy reason game lost ron hextall reason quebec won everybody said come goaltending goaltending key key doesn quite fit montreal penalty kind let face literally left feet throw blaming stewart just excuse avoid facing fact roy allowed worst goals possibly allow saw shot stewart things bit cal
599,5531,2,car new bike price sale cars,0.484,0.553,15,don just like know think good,misc.forsale,misc.forsale,rec.motorcycles,hill studio efficiency available mid perfect looking temporary housing wants stay july nice short walk cmu month plenty parking space street quiet neighborhood nearly new
600,2101,15,don just like know think good,0.484,0.528,9,edu com mail information send list,misc.forsale,rec.motorcycles,comp.sys.mac.hardware,sorry waste bandwidth does know software mail order company called software unlimited ordered software charged credit card did send package times answer phone check computer don advertise anymore know business know contact tell thank
601,8889,15,don just like know think good,0.484,0.367,12,key encryption chip clipper keys privacy,sci.crypt,rec.motorcycles,sci.crypt,nice think naive fact millions people today sending highly confidential information easy receive cellular phones figure chances heard small risk people don understand crypto way sci crypt does clinton tells good crypto believe send important stuff thankful longer using clear voice cellular phones ti
602,932,15,don just like know think good,0.484,0.454,18,god jesus church bible christ christian,soc.religion.christian,rec.motorcycles,soc.religion.christian,just quick reminder way interpreting passages opinion make sound opinion fact interpret passages cite differently great theologians mentioned thing people expertise interpretation scripture probably reading newsgroup say wrong right opinion notice words coming pretty darn close sin pride future sugg
603,7845,2,car new bike price sale cars,0.484,0.532,15,don just like know think good,misc.forsale,misc.forsale,rec.motorcycles,add postage class makes shrink wrapped
604,1448,13,team game year games play season,0.484,0.384,15,don just like know think good,rec.sport.hockey,rec.sport.hockey,rec.motorcycles,stuff deleted solution problem canada yesterday able watch games pitt abc cal cbc bos fox mon que cbc think series goes max watching hockey playoffs odd consecutive nights haven counted pure guess house set watch mon que eye bos time did afternoon games btw abc great quite impressed know audience wa
605,197,16,people god does believe evidence say,0.484,0.550,15,don just like know think good,sci.med,alt.atheism,rec.motorcycles,contradiction essential sense body needs non essential sense body produce supplement
606,7988,10,said people went didn came told,0.484,0.464,15,don just like know think good,rec.motorcycles,talk.religion.misc,rec.motorcycles,saw bike parked bar weeks later dog happened said somebody stole damn dog left harley
607,5228,18,god jesus church bible christ christian,0.483,0.472,16,people god does believe evidence say,soc.religion.christian,soc.religion.christian,alt.atheism,true sure basis belief widely held belief church support lead declared true basically teaching holds pope infallible matters faith doctrine college bishops likewise infallible pope gets attention criticism consensus bodies equally infallible according teaching
