rank,doc_idx,lda_cluster,lda_topwords,lda_maxtheta,lda_entropy,embed_pred_cluster,embed_topwords,true_newsgroup,lda_cluster_as_ng,embed_pred_as_ng,text
131,1973,3,don just like people think know,0.587,0.587,2,edu image graphics com file software,comp.graphics,sci.med,comp.graphics,sure option board does interface hardware follows black oil based red green blue black black blue black multi color non used tested using windows drivers worked fine paper figure worth worth thing certain won need purchase quite fresh rest function willing sell interested just selling got don need c
132,1719,4,gun guns file law people firearms,0.586,0.437,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,think pretty love willing throw freedom sake british government american newspapers send gun defend british home british threat need arms defense american november publications act drugs act used justification police william hunter thompson fear tom electric aid acid test british recognized right de
133,2371,3,don just like people think know,0.586,0.648,0,space nasa launch earth data research,sci.space,sci.med,sci.space,just article current science news article federal funding briefly current advantage things like military work does commercial utility
134,2325,3,don just like people think know,0.585,0.532,1,year game team good games hit,rec.sport.baseball,sci.med,rec.sport.baseball,baseball players past present weren able come koufax somebody maybe john come know sounds pretty thanks help
135,1105,4,gun guns file law people firearms,0.585,0.574,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,hadn killed atf people original raid think laugh ass actually honest
136,1479,1,year game team good games hit,0.585,0.650,3,don just like people think know,talk.politics.guns,rec.sport.baseball,sci.med,smith posting smith dear good day post thanks lot smith
137,1743,3,don just like people think know,0.585,0.467,0,space nasa launch earth data research,sci.space,sci.med,sci.space,actually probably fuel reserve case astronaut like yes got idea taking shuttle somebody build module shelf item piece hardware include attitude control strong things like guidance feed data external device separation don want left attached avoid possible telescope worry going open shuttle closed dur
138,1978,0,space nasa launch earth data research,0.580,0.472,3,don just like people think know,sci.space,sci.space,sci.med,yes long star einstein fact planet inside mercury explain mercury orbit explained known planets einstein theory explained mercury motion analysis mercury motion shows planets inside orbit
139,2296,1,year game team good games hit,0.579,0.683,4,gun guns file law people firearms,talk.politics.guns,rec.sport.baseball,talk.politics.guns,newspaper san independent san san jose mercury news evans ave park san san san jose hmmm carries west national shooting club supply big ads sell guns don like shotgun news won run current swear end cash
140,1342,2,edu image graphics com file software,0.577,0.479,3,don just like people think know,sci.med,comp.graphics,sci.med,good story won read sci couldn reference weight saying isn cited responsibility index suspect knowledge base usual gordon banks skepticism chastity intellect geb cadre dsl pitt edu shameful surrender soon
141,1418,3,don just like people think know,0.576,0.684,2,edu image graphics com file software,comp.graphics,sci.med,comp.graphics,spend money goes away time florida need based software profile given trial run creates response post summary thanks
142,322,4,gun guns file law people firearms,0.575,0.704,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,following quoted end article appeared world lies sorry think wall street journal repeated colorado people daily student newspaper university colorado boulder study deaths king county gun home times likely used kill owner friend child kill studies western institute pittsburgh mere presence gun home f
143,859,2,edu image graphics com file software,0.574,0.537,3,don just like people think know,sci.med,comp.graphics,sci.med,especially useful isn red cross person needed blood couldn right probably won help gordon banks skepticism chastity intellect geb cadre dsl pitt edu shameful surrender soon
144,2559,3,don just like people think know,0.574,0.656,1,year game team good games hit,rec.sport.baseball,sci.med,rec.sport.baseball,interesting article craig amazing hard baseball teams understand properly market teams treat customers business away century current owners display running guess owners look baseball high growth rate ask necessary bring century business practices game don realize growth game capable pay terms long t
145,1925,1,year game team good games hit,0.573,0.759,3,don just like people think know,rec.sport.baseball,rec.sport.baseball,sci.med,did day pulled muscle left near news twins bring kevin family study university minnesota staff edu contact university minnesota women
146,73,2,edu image graphics com file software,0.571,0.665,0,space nasa launch earth data research,sci.space,comp.graphics,sci.space,looking information space program includes nasa history like know suggest books ftp sites interested space program
147,1449,3,don just like people think know,0.570,0.435,4,gun guns file law people firearms,talk.politics.guns,sci.med,talk.politics.guns,city police officer seen cities years carried semi auto type different haven seen glock regard discussion getting far usual close like worth wrong revolver especially large frame favorite valid semi suggest reading know people stand think think general material valid useful book semi auto pistol pol
148,570,0,space nasa launch earth data research,0.570,0.601,3,don just like people think know,sci.space,sci.space,sci.med,pat article shafer nasa gov pat gee thought controlled didn pat total electrical failure flight pat backup systems reaction controlled aircraft fly control surfaces controlled fly pat mean wings fail pat navy aircraft wings order save space wings sweep rest joint air force planes don wings air force
149,94,0,space nasa launch earth data research,0.569,0.452,3,don just like people think know,sci.space,sci.space,sci.med,net land think big martin douglas general dynamics lockheed getting study exactly market price building reusable launch vehicles spending say military requirements launch vehicles pulled say shuttle really used capability idea figure taking data type company bad example know example develop craft de
150,625,4,gun guns file law people firearms,0.568,0.493,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,likely proof majority house senate unfortunately different story gov voted power addition senate smaller readily body hand semi automatic ban likely live house currently far order senate believe addressed ccw thought political science class waste time
151,2581,1,year game team good games hit,0.567,0.502,3,don just like people think know,rec.sport.baseball,rec.sport.baseball,sci.med,briefly sleep work pretty aaa players players younger tend numbers years players older levels generally inflated reliable having major league stats player
152,888,3,don just like people think know,0.567,0.448,0,space nasa launch earth data research,sci.space,sci.med,sci.space,weeks ago speak white getting ready called sources latest town future years budget work sdio looking funds sdio repeat going fund orbital best hope alive year fund vehicle major just make orbit money set tanks projects answer open questions better news comes new effort program open ssto year studies
153,2318,4,gun guns file law people firearms,0.564,0.728,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,gun denver buy guns denver pretty guns turned news tried best including loaded picture note news reported guns checked stolen stolen guns returned owners say does steps yesterday support rkba news channels
154,1979,0,space nasa launch earth data research,0.564,0.459,3,don just like people think know,sci.space,sci.space,sci.med,actually wasn originally intended lunar orbit didn fuel hand lunar orbit mission tiny lunar failure proper lunar orbit couldn confirmed noted technique does takes long time end relatively lunar orbit want useful like low orbit plan certain fuel reduced need force approach
155,796,3,don just like people think know,0.563,0.564,4,gun guns file law people firearms,talk.politics.guns,sci.med,talk.politics.guns,talk politics guns com apr good point responded email couple posts gotten right civil time got firearm wonder relationship turns people ones criminals start act responsibility given chance
156,1570,3,don just like people think know,0.562,0.531,4,gun guns file law people firearms,talk.politics.guns,sci.med,talk.politics.guns,spell question reading different public opinion agree public like assault weapons banned mainly media frequency use violent crime public opinion dead set rkba bet like seeing bills getting passed congress lot easier governments longer protect citizens bet american people start really appreciate fire
157,1595,3,don just like people think know,0.562,0.466,0,space nasa launch earth data research,sci.space,sci.med,sci.space,article new apr sci physics research new opinion friday april washington space light pollution observations read visible day leave night nasa really supporting junk groups organized states really really wouldn worry space mile long inflatable probably short period time year leo somewhat sort giant f
158,848,2,edu image graphics com file software,0.562,0.620,3,don just like people think know,comp.graphics,comp.graphics,sci.med,understand difference studio mainly interface small bug code runs lot faster version
159,774,4,gun guns file law people firearms,0.561,0.553,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,question long fbi guess committed suicide maybe gave choice surrender fbi action chance surrender fair trial matter started responsible
160,63,3,don just like people think know,0.560,0.469,4,gun guns file law people firearms,talk.politics.guns,sci.med,talk.politics.guns,warning follow british sense probably got real going kid couple weeks ago huh course britain government ordered way violent criminals laugh victims don know canada criminals don bother victims home just break america little different criminals worry bit getting shot frequently check home heard gun w
161,949,3,don just like people think know,0.559,0.516,4,gun guns file law people firearms,talk.politics.guns,sci.med,talk.politics.guns,time later troops killed people including kids women sure don want domestic law enforcement agencies country military standards did big trouble covered high officials involved
162,281,0,space nasa launch earth data research,0.558,0.561,3,don just like people think know,sci.space,sci.space,sci.med,government space launch pad directly mean know launch small package space including russian sites know used rockets northern atmospheric items heard able orbit people fixed using direct resources nasa institute sounds like typical cultural people wonder multi dollar yes working spell
163,1471,1,year game team good games hit,0.557,0.486,3,don just like people think know,rec.sport.baseball,rec.sport.baseball,sci.med,come everybody net heard plausible anybody note quick make post claimed news sure looks like guilty knowledge grand early money tom tom contributed appearance expect lots strong year right san diego
164,1702,3,don just like people think know,0.557,0.474,1,year game team good games hit,rec.sport.baseball,sci.med,rec.sport.baseball,going night jose proved interesting analysis jose jose june period needs lose pounds gain bat speed absolutely say lost bat speed huge speed open killing note acts sort like brian way open start ball released significant head movement note doesn close way open fully closed good starting point hard m
165,176,0,space nasa launch earth data research,0.557,0.524,3,don just like people think know,sci.space,sci.space,sci.med,archive space modified date frequently asked questions sci space sci astro introduction series messages periodically posted usenet groups sci space sci astro attempt provide good answers frequently asked questions reference material worth answers frequently asked questions like included posting send
166,658,0,space nasa launch earth data research,0.556,0.471,3,don just like people think know,sci.space,sci.space,sci.med,engineering test mission spent highly earth orbit doing lunar lunar orbit using gravity assist like meant crash moon eventually thing stable lunar orbit far knows believe recall hearing recently happen
167,1890,4,gun guns file law people firearms,0.555,0.518,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,according radio morning ohio operating gun buy giving gun turned ran money day passing sort looking funds operating media event brought hci similar pro gun people example pay life firearm sounds bit hey works
168,1869,3,don just like people think know,0.555,0.513,2,edu image graphics com file software,comp.graphics,sci.med,comp.graphics,rendering programs require surface point direction closed point use points faces determine direction normal making sure points counter order direction given set points edges faces say faces face best way realize face points ordered thought good way telling realized algorithm tell points order polygo
169,1115,3,don just like people think know,0.553,0.474,0,space nasa launch earth data research,sci.space,sci.med,sci.space,idea suggested possible near term commercial space activities folks involved spacecraft engineer named carter passed suggestion types mike apparently going ahead working space marketing sensors carried actually sounds unlikely don know launch vehicle expect commercial launcher certainly shuttle frac
170,1400,3,don just like people think know,0.553,0.544,4,gun guns file law people firearms,talk.politics.guns,sci.med,talk.politics.guns,time hunting streets rights government seen fit ignore history attempt don think nra bunch fundamental fact lot people condition white fat happy glass worth gang shooting high time shot bits
171,1627,0,space nasa launch earth data research,0.550,0.701,3,don just like people think know,talk.politics.guns,sci.space,sci.med,recall kennedy administration sub nuclear weapons europe man portable use shoulder rocket launchers nuclear test seen data yes weapon tested late early
172,1727,4,gun guns file law people firearms,0.549,0.692,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,drugs banned tell supply dry drugs easier manufacture easier easier comparison sir fool knows drug business gun business tim editor freedom network news newsletter international society individual liberty market san francisco fax compuserve com
173,634,0,space nasa launch earth data research,0.549,0.551,3,don just like people think know,sci.space,sci.space,sci.med,actually favor government funded research prime lot basic technologies understand short term value high tech programs long range generation commercial needed maintain healthy economy earth don long term potential bunch factors post gary
174,1356,2,edu image graphics com file software,0.548,0.592,3,don just like people think know,sci.med,comp.graphics,sci.med,seen fair bit traffic recently concerning seizures interested subject son active local association posted message like months ago received replies interested mailing list seizures allow hold share information electronic mail run groups easy interested mail note replies make happen provide details bt
175,568,3,don just like people think know,0.548,0.607,0,space nasa launch earth data research,sci.space,sci.med,sci.space,sorry asking question entirely based technical aspects space couldn answer currently makes seeing space shuttle launch little difficult selected exchange student state august absolutely determined space shuttle launch year america hear bit long mailing list tell mail thanks wants know tell just save
176,1801,4,gun guns file law people firearms,0.548,0.545,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,watched live watched times press point starting point visible tank dry structure minutes started visible needed cause flame observed fbi media fbi version question sad jim jmd handheld com
177,1385,3,don just like people think know,0.547,0.482,2,edu image graphics com file software,comp.graphics,sci.med,comp.graphics,nice know possible different hard platforms usually hard fixed case unix dos interested amiga news case software won software mentioned run unix platform interested information suggest split group don problem cross posting need read just half size important faq reduce traffic lot
178,497,3,don just like people think know,0.547,0.508,2,edu image graphics com file software,sci.space,sci.med,comp.graphics,photo archives open public pictures collection available viewing don know worth try sure necessary think good luck let know
179,1215,2,edu image graphics com file software,0.547,0.471,3,don just like people think know,comp.graphics,comp.graphics,sci.med,guys like people group fans render pov listen ideas just starting able use quite animation grand just interested kind concerning cars parts good does object complete hard animation object material project ftp site looking pov files interested time rendering images pov thank
180,641,2,edu image graphics com file software,0.546,0.508,3,don just like people think know,comp.graphics,comp.graphics,sci.med,wrote turned mirror sites looked original site uiuc edu mess started cheers
181,2211,0,space nasa launch earth data research,0.546,0.490,3,don just like people think know,sci.space,sci.space,sci.med,great respect people speak think cost estimates bit working ssto complex large smaller experience base ssto development cost typical development puts range true contest result larger market don think given risks involved ssto costs available launch market think allen
182,966,3,don just like people think know,0.546,0.550,2,edu image graphics com file software,comp.graphics,sci.med,comp.graphics,like graphics library libraries cost tools used say reasonable cost sorry don answers just questions
183,79,3,don just like people think know,0.546,0.551,1,year game team good games hit,rec.sport.baseball,sci.med,rec.sport.baseball,easy question knows baseball city california angels play richard idea doing don worry professional living
184,1202,3,don just like people think know,0.545,0.576,0,space nasa launch earth data research,sci.space,sci.med,sci.space,sub orbital version suitable use rocket thank thought definitely son just
185,1604,2,edu image graphics com file software,0.543,0.469,3,don just like people think know,sci.med,comp.graphics,sci.med,day dose migraine got level unlikely beta help probably single dose don know work migraine probably gordon banks skepticism chastity intellect geb cadre dsl pitt edu shameful surrender soon
186,446,4,gun guns file law people firearms,0.543,0.550,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,correction fbi says said set cult members press kept miles away absolutely independent government claims matter
187,2207,0,space nasa launch earth data research,0.541,0.562,2,edu image graphics com file software,comp.graphics,sci.space,comp.graphics,derived natural order survey fundamental geometric data structure acm computing concepts applications new york isbn computing dimensional application computer natural australian computer
188,1542,0,space nasa launch earth data research,0.541,0.700,3,don just like people think know,sci.space,sci.space,sci.med,gamma ray galaxy expected core gamma energy does know energy depends distance unknown answer form
189,577,4,gun guns file law people firearms,0.541,0.581,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,hard know believe letter received batf response sent said search warrant warrant
190,628,2,edu image graphics com file software,0.540,0.590,3,don just like people think know,sci.space,comp.graphics,sci.med,questions issues congress raised discussed dennis replies dennis things black white terms tommy mac tom radius vision increases ibm msu edu circumference mystery grows
191,924,3,don just like people think know,0.540,0.506,2,edu image graphics com file software,comp.graphics,sci.med,comp.graphics,sure did use version works fine software pro quite important pretty useless program thing working imho hope author fix daniel
192,2468,3,don just like people think know,0.538,0.569,1,year game team good games hit,rec.sport.baseball,sci.med,rec.sport.baseball,finally use super frame advance heat trust time converted film video kinds difference frame rate unless expert doing company hey fair guy bat body doesn strike strange little bit plate like gets bat hitting level plane time watched didn think hit like easy makes look time makes contact solid got goo
193,2376,0,space nasa launch earth data research,0.538,0.547,3,don just like people think know,sci.space,sci.space,sci.med,actually legal familiar speaking knowing popular science probably speaking public legitimate company engines available model rockets using similar fuel roughly times powerful black available form end rings engines range way common manufacture heard used special model rocket rocket contain metal part
194,252,0,space nasa launch earth data research,0.537,0.531,3,don just like people think know,sci.space,sci.space,sci.med,heard food product called space food remember awful things dry recall asking grade miss francisco kept floating zero seen like today space program apollo technology best ken nasa jsc space shuttle program office jsc nasa gov
195,186,4,gun guns file law people firearms,0.537,0.677,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,believe remember killed captured agree davidians die believed
196,1939,4,gun guns file law people firearms,0.536,0.551,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,accidental seen specifically provides info davis love wrong gun design happen supposed carried hammer gun turns cylinder loaded cylinder hammer words carried safe manner handgun designs don property trigger isn pulled hammer hit firing include category say davis right claims large negative number pe
197,2351,3,don just like people think know,0.536,0.479,4,gun guns file law people firearms,talk.politics.guns,sci.med,talk.politics.guns,risk starting gun better flame war disagree handling glock fact chosen like revolver does basically limit training time read budget fact external trigger training time required smith types chosen fact external hammer drop drop properly used saved lives bad gun officer tried shoot said officer gun sa
198,880,0,space nasa launch earth data research,0.535,0.496,3,don just like people think know,sci.space,sci.space,sci.med,problems biggest technical problem need satellites going orbit don commercial launches money titan government isn day thinks paying times commercial rate launch services good idea allen
199,1818,1,year game team good games hit,0.535,0.545,3,don just like people think know,rec.sport.baseball,rec.sport.baseball,sci.med,possible case think going clearly allowing use pre dodgers impressive got walk stretch farm animal natural length koufax com paul
200,2078,0,space nasa launch earth data research,0.534,0.634,3,don just like people think know,sci.space,sci.space,sci.med,phil didn early jet think phil did work came world war nasa directly space added notice didn mention sweep wings tested dryden did difference wings don change angle sweep sweep wings names caused wings sweep wings phil lot military nasa proposed nasa test teams demonstrated richard jones langley res
201,201,3,don just like people think know,0.533,0.600,4,gun guns file law people firearms,talk.politics.guns,sci.med,talk.politics.guns,actually going assume posting fool suppose just word did think people use firearms protect admit ridiculous laws exist concealed carry cool work park desk woman killing new probably frankly met woman worth killing worth killing does know rest don worried federal coming guns government violent crimin
202,2042,0,space nasa launch earth data research,0.533,0.675,3,don just like people think know,sci.space,sci.space,sci.med,did long time ago length able convert information times telephone department statistics mail university maryland baltimore county bitnet bitnet baltimore usa internet math edu axis planet away normal orbital plane case earth degrees think recall exact value case degrees location length day measured 
203,810,1,year game team good games hit,0.532,0.718,2,edu image graphics com file software,rec.sport.baseball,rec.sport.baseball,comp.graphics,wondering types box scores day college able till weekend mail twins box scores looking twins schedule
204,2195,0,space nasa launch earth data research,0.531,0.525,3,don just like people think know,sci.med,sci.space,sci.med,interested procedure able add following facts procedure philadelphia performed maryland think units performed new york city eye magic words use information think mean laser study proper people
205,1555,0,space nasa launch earth data research,0.531,0.511,3,don just like people think know,sci.space,sci.space,sci.med,alan don forget huge cost joke weight fly highly space projects engineering didn spend paper pushing company trying funding build light commercial low cost basis reducing costs
206,2287,4,gun guns file law people firearms,0.530,0.647,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,high power assault gun talking did want try german guns
207,2003,4,gun guns file law people firearms,0.530,0.531,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,jim concerned media growing imagine media investigations government kept media away story particularly administration going let look initial examine happened student human particularly area ops techniques useful business puts amateur amateur knows thing psychological profile bet ass fbi koresh kores
208,2355,3,don just like people think know,0.529,0.506,1,year game team good games hit,rec.sport.baseball,sci.med,rec.sport.baseball,point really thought written pro anti poster certain talent somebody like instance obviously intended original poster eyes looks like robert really compare performance phillies edition run position finished sub level folks didn imho previous years teams year style braves orioles greg lot lot arizona
209,1140,2,edu image graphics com file software,0.529,0.510,3,don just like people think know,sci.med,comp.graphics,sci.med,probably years new type possible maybe mapping human start work manipulation using genetic engineering able genes want question make race disease free long lived gordon banks skepticism chastity intellect geb cadre dsl pitt edu shameful surrender soon
210,1083,4,gun guns file law people firearms,0.529,0.541,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,course criminal criminals large cash parts town right public places chances shot higher avoiding hand chances shot like murders criminals killing criminals murders committed people prior known history violence moral suitable year old posters bad people bad things
211,2477,4,gun guns file law people firearms,0.529,0.679,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,saying indians did army news indians great upper mexico south america converted thing saying indians coming decision religion forced given government civil war nation gave mild support owned black reducing matter religion support view history
212,586,0,space nasa launch earth data research,0.528,0.590,3,don just like people think know,sci.space,sci.space,sci.med,fact direct proper target nasa rocket commercial launch flying comet payload nasa simply primary believe sdio small payload advertising space sold owners rocket addition anonymous reason deal space news twice think fair starts having fit fact bothered use suggests approved
213,1558,3,don just like people think know,0.528,0.610,4,gun guns file law people firearms,talk.politics.guns,sci.med,talk.politics.guns,open debate certainly number people year people save innocent lives firearms media just don tell happens think federal crap thinking headed nuts
214,496,4,gun guns file law people firearms,0.528,0.509,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,add vitamin common cold cancer wait minute did compare did seen canada gun law effect homicides total handgun pre post comparison utility does prove hold point ask economic does prove looking pre post data canadian gun law effect sir canadian owned gun gun laws passed decided turn answer question gu
215,2049,1,year game team good games hit,0.528,0.730,3,don just like people think know,talk.politics.guns,rec.sport.baseball,sci.med,note party ticket david duke duke leading ticket gave chance vice president just supporting duke
216,372,4,gun guns file law people firearms,0.528,0.501,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,just light widely reported folks starting reported places rules cause like discussion incident believe right proper problems tactics watching special tonight cnn question atf fbi actions possible taken koresh outside compound time feb raid wait resulted different outcome fbi actions right course act
217,612,3,don just like people think know,0.527,0.517,2,edu image graphics com file software,comp.graphics,sci.med,comp.graphics,main method seen described little bit long developed method requires points counter order returns looking similar plane method uses calculations basically view display screen means little method basically figures points appear screen looking points occur opposite direction merely way points tell loo
218,653,3,don just like people think know,0.526,0.574,0,space nasa launch earth data research,sci.space,sci.med,sci.space,better question transfer separate agency funding support kind science missions don money going changing agency help
219,1376,2,edu image graphics com file software,0.526,0.557,3,don just like people think know,sci.med,comp.graphics,sci.med,agree adding simply eat money spent actually doing work doctors efficient probably limited management fixed budget england canada afraid wrong track problem insurance lobby powerful gordon banks skepticism chastity intellect geb cadre dsl pitt edu shameful surrender soon
220,273,3,don just like people think know,0.526,0.615,0,space nasa launch earth data research,sci.space,sci.med,sci.space,known far sun united states produced great team anderson science usually bit better production using live better known shows later went live action series space astronomy body spacecraft launch complex wonderful look
221,1723,0,space nasa launch earth data research,0.525,0.459,3,don just like people think know,sci.space,sci.space,sci.med,apparently planet inside orbit mercury idea came differences mercury observed value according physics extensive set observations calculations mid century later improved observations using equations predicted existence based orbit inclination believe sort thing mercury mercury rate does space near su
222,2177,3,don just like people think know,0.525,0.508,0,space nasa launch earth data research,sci.space,sci.med,sci.space,talk end space age complaints government large cost try read just work announce billion corporation successfully keeps person alive moon year popular technologies begin developed different kind space race
223,1966,2,edu image graphics com file software,0.524,0.585,3,don just like people think know,sci.med,comp.graphics,sci.med,chest ray provides minute radiation drop far increased risk concerned tell controls matter law case write don hold breath gordon banks skepticism chastity intellect geb cadre dsl pitt edu shameful surrender soon
224,2328,0,space nasa launch earth data research,0.524,0.487,3,don just like people think know,sci.space,sci.space,sci.med,need launch send large amounts stuff assume new launcher development assume new launcher development lower costs specific objective probably don want build
225,1634,4,gun guns file law people firearms,0.524,0.691,2,edu image graphics com file software,talk.politics.guns,talk.politics.guns,comp.graphics,colorado edu frank university colorado boulder stats talking stats assaults deaths represent great majority represent urban pointed
226,1679,3,don just like people think know,0.524,0.594,1,year game team good games hit,rec.sport.baseball,sci.med,rec.sport.baseball,thought jewish recall mentioned oakland
227,159,0,space nasa launch earth data research,0.523,0.638,3,don just like people think know,sci.space,sci.space,sci.med,today isn suitable sdio funds reusable rocket sdio goal did lot going reports soon briefing right people paying public support critical politics need constant pressure officials allen
228,2421,3,don just like people think know,0.523,0.498,1,year game team good games hit,rec.sport.baseball,sci.med,rec.sport.baseball,god hope don kind junk season home runs just right thinking dean palmer texas homers don know follow
229,1313,3,don just like people think know,0.523,0.560,4,gun guns file law people firearms,talk.politics.guns,sci.med,talk.politics.guns,koresh threatened cause local problems alleged post details soon sure news outside man suspect division question guns trial
230,387,3,don just like people think know,0.523,0.485,2,edu image graphics com file software,comp.graphics,sci.med,comp.graphics,having thought don project lines plane formed lines intersection plane guaranteed unique solution unless parallel won happen case use distance lines circle determine exact point error required hope haven foot steve
231,756,2,edu image graphics com file software,0.523,0.719,3,don just like people think know,sci.med,comp.graphics,sci.med,does anybody know information regarding total quality management quality control quality delivery health care service appreciate information post responses thank president
232,841,3,don just like people think know,0.522,0.586,4,gun guns file law people firearms,talk.politics.guns,sci.med,talk.politics.guns,just got listening clock news channel list produced atf months investigation raid couldn believe junk list example bunch ammunition used assault rifles imagine ammunition dust yeah component far haven heard illegal thing list illegal launcher anybody know months investigation people died
233,1808,0,space nasa launch earth data research,0.522,0.458,3,don just like people think know,sci.space,sci.space,sci.med,site major commercial activity far know materials cheaper right earth asteroids comets aside semi useful low grade fusion problem aside making fusion work lunar just small order average thread reminds claims time ago moon source use earth recall wasn factor lunar high difficult moon overcome small i
234,2584,0,space nasa launch earth data research,0.522,0.620,3,don just like people think know,sci.space,sci.space,sci.med,term concept drag free idea putting spacecraft respond earth gravity field ignore drag proposed years ago involved ball floating sensors job signal little ball away ball drag free condition respond gravity spacecraft position drag
235,2189,3,don just like people think know,0.521,0.535,1,year game team good games hit,rec.sport.baseball,sci.med,rec.sport.baseball,thought fact hitting ball day stuff wonder gave talk rest lineup suddenly came alive games
236,555,3,don just like people think know,0.521,0.558,4,gun guns file law people firearms,talk.politics.guns,sci.med,talk.politics.guns,talk politics guns com apr follow months posting reader noted seen months numbers don constant particular issue shots fired remember
237,2349,0,space nasa launch earth data research,0.521,0.741,3,don just like people think know,sci.space,sci.space,sci.med,send project proposal objectives current status project chance project shall completed interesting information project help appreciated
238,1952,4,gun guns file law people firearms,0.520,0.598,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,good job posted article saving edition planning don people worried media question raid times despite anti gun willing talk batf agents
239,2077,3,don just like people think know,0.519,0.461,0,space nasa launch earth data research,sci.space,sci.med,sci.space,goddard fall head operations section nasa talking future missions going funded don remember title hand announcement case asked matter spend million instruments place going available lead time instrument like magellan years spent spent using current instruments current budget little future projects d
240,1197,1,year game team good games hit,0.518,0.487,3,don just like people think know,rec.sport.baseball,rec.sport.baseball,sci.med,hernandez explained know essential fans scores problem posting scores games completed like said earlier don think post scores middle games like come practice
241,1301,3,don just like people think know,0.518,0.516,4,gun guns file law people firearms,talk.politics.guns,sci.med,talk.politics.guns,did did miller don text case handy yes shotguns used american war civil war question possession shotgun weapon altered improve free produce evidence willing just don nra position does mean rkba attitude makes nra
242,1433,4,gun guns file law people firearms,0.518,0.508,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,day shows ignorance power cut weeks lived area thinks electric favor stop working power power come country city gas jim jmd handheld com
243,2263,3,don just like people think know,0.517,0.648,2,edu image graphics com file software,sci.space,sci.med,comp.graphics,doug actually memory serves atlas old titan probably quite old need able buy pad including facility prices pretty cheap
244,2230,4,gun guns file law people firearms,0.516,0.533,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,know reading just did make wondering help say provided paragraph shall person transfer possess got looking law dictionary person artificial created government rights federal constitution don understand like individual tell government tell possess just passing law does make law knows laws goes court 
245,152,0,space nasa launch earth data research,0.515,0.645,2,edu image graphics com file software,sci.space,sci.space,comp.graphics,according software engineering professor actually level ibm unit produced software shuttle means interesting note software development groups level ibm shuttle groups level
246,1384,3,don just like people think know,0.515,0.687,0,space nasa launch earth data research,sci.space,sci.med,sci.space,does know size cold gas roll control tanks rockets work cold gas need make tanks big rocket payload guidance telescope pounds uses minutes space pretty firing duty cycle need kill payload look sun tanks holding speaking memory flight ground crew choose use based black magic algorithm extra tank modu
247,1050,3,don just like people think know,0.514,0.651,1,year game team good games hit,rec.sport.baseball,sci.med,rec.sport.baseball,watching mets rockies calling belt far letters nice case
248,1345,4,gun guns file law people firearms,0.514,0.552,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,flame guy really pay attention news oops forgot media jump right story facts known believe ways koresh followers did repeat did survive mass innocent people survivors burn unit local hospital reported david shit hit fan majority children children supposed makes children told david followers heat sta
249,235,2,edu image graphics com file software,0.514,0.505,3,don just like people think know,comp.graphics,comp.graphics,sci.med,idea polygon using polygon necessarily window problem finding new resulting simply matter usual algorithm edges polygon checked polygon way comments welcome
250,1735,3,don just like people think know,0.513,0.504,4,gun guns file law people firearms,talk.politics.guns,sci.med,talk.politics.guns,talk politics guns utexas edu apr watching knife gun bit contributed comments stuff face knife gun got come ignorance used think pretty thing got educated people rule understand deadly quickly killed people don understand takes inch areas cause quick minute death death rates handguns percentage poin
251,1192,3,don just like people think know,0.513,0.526,2,edu image graphics com file software,comp.graphics,sci.med,comp.graphics,regards seen compressed movies fairly impressive gray scale movie minutes video little bad second saw minutes bit color measured consider movies practical thing unlike formats end losing resolution don know kind software hardware used creating movies saw guy showed said took minutes frame generate s
252,2015,3,don just like people think know,0.512,0.658,4,gun guns file law people firearms,sci.med,sci.med,talk.politics.guns,illegal perform licensed practitioner single documented case transmission aids wouldn worry
253,2277,3,don just like people think know,0.512,0.560,1,year game team good games hit,rec.sport.baseball,sci.med,rec.sport.baseball,don problem pretty swing non make outs especially ball counts dave
254,1802,2,edu image graphics com file software,0.512,0.599,0,space nasa launch earth data research,sci.space,comp.graphics,sci.space,original com day com mar com wrote com nick longer term consider orbiting mirrors world japanese developed plan called public good space energy satellites ralph
